Model,Config,F1_Score
SVM,"{'C': 10, 'kernel': 'rbf'}",0.8390773333148568
SVM,"{'C': 5, 'kernel': 'rbf'}",0.8318386956649279
CNN,"[128, 256, 512]",0.8248427821852485
MLP,"[256, 512]",0.7968118156755493
MLP,"[128, 256, 512]",0.7859351485047594
MLP,"[128, 256]",0.7846817168448464
CNN,"[32, 64, 128]",0.7823105080785046
CNN,"[128, 256]",0.7668844553890058
MLP,"[64, 128]",0.7642571763425962
SVM,"{'C': 1, 'kernel': 'rbf'}",0.7626196097618193
MLP,[128],0.7605220448917707
KAN,"[256, 512]",0.7604736679940793
CNN,"[64, 128, 256]",0.7602914519902468
MLP,"[64, 128, 256]",0.7533826069295709
KNN,n_neighbors=5,0.7532824687341871
MLP,[256],0.7475607586863069
MLP,"[32, 64]",0.7321008599123127
KAN,[256],0.7300207644350376
KAN,"[128, 256]",0.7243723168716892
MLP,[64],0.7241092162771495
CNN,"[32, 64]",0.7222302771971788
KAN,"[128, 256, 512]",0.7208541635098865
CNN,"[256, 512]",0.720476197941626
MLP,"[32, 64, 128]",0.7161146745951542
KAN,[128],0.7133280315295318
CNN,"[64, 128]",0.7119125974357634
CNN,[64],0.7065368984511222
MLP,[32],0.7059705100794563
CNN,[32],0.6962636755870001
KAN,[64],0.6666801126036095
KAN,"[64, 128]",0.6637161557735411
KAN,[32],0.6565077309099959
KAN,"[64, 128, 256]",0.6562145861546804
KAN,"[32, 64]",0.636448690903654
CNN,[128],0.6265876148536926
KAN,"[32, 64, 128]",0.6141262626843017
SVM,"{'C': 0.1, 'kernel': 'rbf'}",0.6082189924769353
CNN,[256],0.5526221343352876
